,,,,,,,,,,,,,,
Akkoord–thema–bewijskoppeling,,,,,,,,,,,,,,
Iedere positieve intensiteit heeft minimaal één bewijs-ID. Afwezigheid blijft expliciet als 0 staan.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Gemeente,Route,Regio,Provincie,Bron-ID,Bestand,Code,Thema,Intensiteit,Prominentie,Concreetheid,# bewijs,Bewijs-ID’s,Pagina’s,Basis
Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,T03,"Openbaar, collectief en vraagafhankelijk vervoer",2,3,3,11,H14-0038; H14-0044; H14-0045; H14-0051; H14-0055; H14-0056; H14-0060; H14-0074; H14-0082; H14-0085; H14-0088,26; 27; 28; 47,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,T04,"Autoverkeer, wegennet, doorstroming en ontsluiting",2,3,3,8,H14-0032; H14-0033; H14-0045; H14-0047; H14-0056; H14-0073; H14-0083; H14-0084,26; 27; 28; 47,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,T05,Parkeren en ruimte voor stilstaande mobiliteit,3,3,3,20,H14-0022; H14-0026; H14-0027; H14-0031; H14-0046; H14-0052; H14-0053; H14-0054; H14-0061; H14-0064; H14-0067; H14-0069; H14-0070; H14-0072; H14-0075; H14-0080; H14-0086; H14-0092; H14-0093; H14-0094,19; 24; 26; 27; 28; 46; 47; 50,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,T06,"Mobiliteit in ruimte, woningbouw en leefomgeving",3,3,3,21,H14-0016; H14-0018; H14-0025; H14-0028; H14-0029; H14-0033; H14-0038; H14-0041; H14-0056; H14-0059; H14-0061; H14-0067; H14-0070; H14-0077; H14-0078; H14-0079; H14-0080; H14-0086; H14-0089; H14-0090; H14-0091,13; 15; 23; 24; 26; 27; 28; 43; 45; 46; 47; 48,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,T07,"Duurzame, gedeelde en slimme mobiliteit",2,2,2,3,H14-0060; H14-0064; H14-0072,28,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,T08,Toegankelijke en betaalbare mobiliteit; bereikbaarheid van kernen,3,3,3,9,H14-0025; H14-0028; H14-0044; H14-0076; H14-0080; H14-0082; H14-0083; H14-0084; H14-0088,23; 24; 27; 30; 46; 47,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,T09,"Goederenvervoer, logistiek en bijzondere vervoersstromen",2,3,2,5,H14-0062; H14-0065; H14-0071; H14-0083; H14-0084,28; 47,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,T10,"Beheer, onderhoud en civiele infrastructuur",2,2,3,2,H14-0023; H14-0035,22; 26,H14 gerichte anomaliecontrole volgens inclusie-/exclusieregel
Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,T11,"Uitvoering, samenwerking, financiering en kennis",3,3,3,31,H14-0015; H14-0018; H14-0020; H14-0021; H14-0023; H14-0024; H14-0028; H14-0029; H14-0031; H14-0033; H14-0043; H14-0050; H14-0053; H14-0055; H14-0056; H14-0058; H14-0064; H14-0065; H14-0067; H14-0068; H14-0071; H14-0076; H14-0078; H14-0080; H14-0081; H14-0084; H14-0086; H14-0087; H14-0088; H14-0090; H14-0091,11; 15; 18; 19; 22; 24; 26; 27; 28; 30; 43; 46; 47; 48,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Almelo,Rechtstreeks,Rechtstreeks,Overijssel,SRC-003,Almelo.pdf,T01,Verkeersveiligheid en veilig verkeersgedrag,1,1,1,2,H14-0103; H14-0107,9,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Almelo,Rechtstreeks,Rechtstreeks,Overijssel,SRC-003,Almelo.pdf,T02,"Lopen, fietsen en actieve mobiliteit",3,3,3,7,H14-0104; H14-0106; H14-0124; H14-0125; H14-0126; H14-0131; H14-0132,9; 11; 21,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Almelo,Rechtstreeks,Rechtstreeks,Overijssel,SRC-003,Almelo.pdf,T03,"Openbaar, collectief en vraagafhankelijk vervoer",2,3,2,12,H14-0095; H14-0096; H14-0098; H14-0104; H14-0109; H14-0110; H14-0112; H14-0116; H14-0117; H14-0118; H14-0119; H14-0121,3; 9; 10,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Almelo,Rechtstreeks,Rechtstreeks,Overijssel,SRC-003,Almelo.pdf,T04,"Autoverkeer, wegennet, doorstroming en ontsluiting",2,3,2,8,H14-0100; H14-0101; H14-0104; H14-0109; H14-0110; H14-0111; H14-0124; H14-0131,4; 9; 11; 21,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Almelo,Rechtstreeks,Rechtstreeks,Overijssel,SRC-003,Almelo.pdf,T05,Parkeren en ruimte voor stilstaande mobiliteit,2,2,2,2,H14-0124; H14-0127,11,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Almelo,Rechtstreeks,Rechtstreeks,Overijssel,SRC-003,Almelo.pdf,T06,"Mobiliteit in ruimte, woningbouw en leefomgeving",2,3,2,14,H14-0097; H14-0098; H14-0099; H14-0100; H14-0103; H14-0105; H14-0107; H14-0108; H14-0110; H14-0113; H14-0116; H14-0119; H14-0121; H14-0128,3; 4; 9; 10; 18,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Almelo,Rechtstreeks,Rechtstreeks,Overijssel,SRC-003,Almelo.pdf,T07,"Duurzame, gedeelde en slimme mobiliteit",2,3,2,5,H14-0116; H14-0120; H14-0121; H14-0122; H14-0123,10,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Almelo,Rechtstreeks,Rechtstreeks,Overijssel,SRC-003,Almelo.pdf,T08,Toegankelijke en betaalbare mobiliteit; bereikbaarheid van kernen,0,0,0,0,,,H14: geen inhoudelijke passage aangetroffen
Almelo,Rechtstreeks,Rechtstreeks,Overijssel,SRC-003,Almelo.pdf,T09,"Goederenvervoer, logistiek en bijzondere vervoersstromen",0,0,0,0,,,H14 gerichte anomaliecontrole volgens inclusie-/exclusieregel
Almelo,Rechtstreeks,Rechtstreeks,Overijssel,SRC-003,Almelo.pdf,T10,"Beheer, onderhoud en civiele infrastructuur",0,0,0,0,,,H14: geen inhoudelijke passage aangetroffen
Almelo,Rechtstreeks,Rechtstreeks,Overijssel,SRC-003,Almelo.pdf,T11,"Uitvoering, samenwerking, financiering en kennis",3,3,3,14,H14-0100; H14-0101; H14-0102; H14-0108; H14-0112; H14-0114; H14-0115; H14-0117; H14-0119; H14-0123; H14-0126; H14-0129; H14-0130; H14-0132,4; 8; 9; 10; 11; 19; 21,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Almere,Rechtstreeks,Rechtstreeks,Flevoland,SRC-004,Almere 2026.pdf,T01,Verkeersveiligheid en veilig verkeersgedrag,2,2,2,1,H14-0140,18,H14 tweede volledige lezing (aselecte controleset)
Almere,Rechtstreeks,Rechtstreeks,Flevoland,SRC-004,Almere 2026.pdf,T02,"Lopen, fietsen en actieve mobiliteit",2,3,2,7,H14-0138; H14-0142; H14-0146; H14-0147; H14-0149; H14-0151; H14-0155,18; 21,H14 tweede volledige lezing (aselecte controleset)
Almere,Rechtstreeks,Rechtstreeks,Flevoland,SRC-004,Almere 2026.pdf,T03,"Openbaar, collectief en vraagafhankelijk vervoer",2,3,2,13,H14-0134; H14-0136; H14-0138; H14-0139; H14-0141; H14-0142; H14-0147; H14-0149; H14-0151; H14-0153; H14-0154; H14-0157; H14-0160,9; 18; 19; 21,H14 tweede volledige lezing (aselecte controleset)
Almere,Rechtstreeks,Rechtstreeks,Flevoland,SRC-004,Almere 2026.pdf,T04,"Autoverkeer, wegennet, doorstroming en ontsluiting",2,2,2,3,H14-0135; H14-0142; H14-0146,9; 21,H14 tweede volledige lezing (aselecte controleset)
Almere,Rechtstreeks,Rechtstreeks,Flevoland,SRC-004,Almere 2026.pdf,T05,Parkeren en ruimte voor stilstaande mobiliteit,2,3,2,6,H14-0143; H14-0144; H14-0148; H14-0152; H14-0158; H14-0159,21,H14 tweede volledige lezing (aselecte controleset)
Almere,Rechtstreeks,Rechtstreeks,Flevoland,SRC-004,Almere 2026.pdf,T06,"Mobiliteit in ruimte, woningbouw en leefomgeving",2,3,2,7,H14-0133; H14-0136; H14-0145; H14-0149; H14-0151; H14-0160; H14-0162,7; 9; 21; 23,H14 tweede volledige lezing (aselecte controleset)
Almere,Rechtstreeks,Rechtstreeks,Flevoland,SRC-004,Almere 2026.pdf,T07,"Duurzame, gedeelde en slimme mobiliteit",2,3,2,6,H14-0142; H14-0146; H14-0150; H14-0151; H14-0153; H14-0156,21,H14 tweede volledige lezing (aselecte controleset)
Almere,Rechtstreeks,Rechtstreeks,Flevoland,SRC-004,Almere 2026.pdf,T08,Toegankelijke en betaalbare mobiliteit; bereikbaarheid van kernen,2,2,2,1,H14-0140,18,H14 tweede volledige lezing (aselecte controleset)
Almere,Rechtstreeks,Rechtstreeks,Flevoland,SRC-004,Almere 2026.pdf,T09,"Goederenvervoer, logistiek en bijzondere vervoersstromen",2,2,2,3,H14-0156; H14-0161; H14-0162,21; 23,H14 tweede volledige lezing (aselecte controleset)
Almere,Rechtstreeks,Rechtstreeks,Flevoland,SRC-004,Almere 2026.pdf,T10,"Beheer, onderhoud en civiele infrastructuur",0,0,0,0,,,H14 tweede volledige lezing (aselecte controleset)
Almere,Rechtstreeks,Rechtstreeks,Flevoland,SRC-004,Almere 2026.pdf,T11,"Uitvoering, samenwerking, financiering en kennis",1,3,2,5,H14-0137; H14-0138; H14-0156; H14-0158; H14-0159,9; 18; 21,H14 tweede volledige lezing (aselecte controleset)
Alphen aan den Rijn,Rechtstreeks,Rechtstreeks,Zuid-Holland,SRC-005,Alphen.pdf,T01,Verkeersveiligheid en veilig verkeersgedrag,3,3,3,7,H14-0164; H14-0182; H14-0192; H14-0200; H14-0202; H14-0204; H14-0205,17; 18; 19,H14 tweede volledige lezing (aselecte controleset)
Alphen aan den Rijn,Rechtstreeks,Rechtstreeks,Zuid-Holland,SRC-005,Alphen.pdf,T02,"Lopen, fietsen en actieve mobiliteit",3,3,3,19,H14-0164; H14-0165; H14-0168; H14-0170; H14-0173; H14-0174; H14-0175; H14-0177; H14-0182; H14-0183; H14-0187; H14-0192; H14-0193; H14-0199; H14-0200; H14-0206; H14-0209; H14-0214; H14-0215,17; 18; 19; 21; 31; 36,H14 tweede volledige lezing (aselecte controleset)
Alphen aan den Rijn,Rechtstreeks,Rechtstreeks,Zuid-Holland,SRC-005,Alphen.pdf,T03,"Openbaar, collectief en vraagafhankelijk vervoer",2,3,2,9,H14-0165; H14-0170; H14-0194; H14-0198; H14-0207; H14-0212; H14-0213; H14-0221; H14-0222,17; 19; 20; 28; 60,H14 tweede volledige lezing (aselecte controleset)
Alphen aan den Rijn,Rechtstreeks,Rechtstreeks,Zuid-Holland,SRC-005,Alphen.pdf,T04,"Autoverkeer, wegennet, doorstroming en ontsluiting",3,3,3,10,H14-0167; H14-0171; H14-0178; H14-0181; H14-0183; H14-0184; H14-0186; H14-0191; H14-0194; H14-0201,17; 18; 19,H14 tweede volledige lezing (aselecte controleset)
Alphen aan den Rijn,Rechtstreeks,Rechtstreeks,Zuid-Holland,SRC-005,Alphen.pdf,T05,Parkeren en ruimte voor stilstaande mobiliteit,3,3,2,10,H14-0166; H14-0169; H14-0180; H14-0185; H14-0190; H14-0195; H14-0196; H14-0197; H14-0203; H14-0210,17; 18; 19; 22,H14 tweede volledige lezing (aselecte controleset)
Alphen aan den Rijn,Rechtstreeks,Rechtstreeks,Zuid-Holland,SRC-005,Alphen.pdf,T06,"Mobiliteit in ruimte, woningbouw en leefomgeving",3,3,2,4,H14-0163; H14-0165; H14-0179; H14-0202,13; 17; 19,H14 tweede volledige lezing (aselecte controleset)
Alphen aan den Rijn,Rechtstreeks,Rechtstreeks,Zuid-Holland,SRC-005,Alphen.pdf,T07,"Duurzame, gedeelde en slimme mobiliteit",3,3,2,5,H14-0172; H14-0176; H14-0188; H14-0189; H14-0194,17; 18; 19,H14 tweede volledige lezing (aselecte controleset)
Alphen aan den Rijn,Rechtstreeks,Rechtstreeks,Zuid-Holland,SRC-005,Alphen.pdf,T08,Toegankelijke en betaalbare mobiliteit; bereikbaarheid van kernen,2,1,1,1,H14-0211,25,H14 tweede volledige lezing (aselecte controleset)
Alphen aan den Rijn,Rechtstreeks,Rechtstreeks,Zuid-Holland,SRC-005,Alphen.pdf,T09,"Goederenvervoer, logistiek en bijzondere vervoersstromen",2,3,2,7,H14-0172; H14-0189; H14-0216; H14-0217; H14-0218; H14-0219; H14-0220,17; 18; 45; 51; 52,H14 tweede volledige lezing (aselecte controleset)
Alphen aan den Rijn,Rechtstreeks,Rechtstreeks,Zuid-Holland,SRC-005,Alphen.pdf,T10,"Beheer, onderhoud en civiele infrastructuur",3,1,1,1,H14-0208,20,H14 tweede volledige lezing (aselecte controleset)
Alphen aan den Rijn,Rechtstreeks,Rechtstreeks,Zuid-Holland,SRC-005,Alphen.pdf,T11,"Uitvoering, samenwerking, financiering en kennis",3,2,2,2,H14-0187; H14-0212,18; 28,H14 tweede volledige lezing (aselecte controleset)
Altena,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-006,Altena.pdf,T01,Verkeersveiligheid en veilig verkeersgedrag,2,1,1,1,H14-0230,23,H14 tweede volledige lezing (aselecte controleset)
Altena,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-006,Altena.pdf,T02,"Lopen, fietsen en actieve mobiliteit",2,1,1,2,H14-0230; H14-0233,23,H14 tweede volledige lezing (aselecte controleset)
Altena,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-006,Altena.pdf,T03,"Openbaar, collectief en vraagafhankelijk vervoer",3,2,2,3,H14-0231; H14-0235; H14-0237,23,H14 tweede volledige lezing (aselecte controleset)
Altena,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-006,Altena.pdf,T04,"Autoverkeer, wegennet, doorstroming en ontsluiting",1,1,1,2,H14-0232; H14-0234,23,H14 tweede volledige lezing (aselecte controleset)
Altena,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-006,Altena.pdf,T05,Parkeren en ruimte voor stilstaande mobiliteit,0,0,0,0,,,H14 tweede volledige lezing (aselecte controleset)
Altena,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-006,Altena.pdf,T06,"Mobiliteit in ruimte, woningbouw en leefomgeving",1,2,1,2,H14-0225; H14-0227,17; 21,H14 tweede volledige lezing (aselecte controleset)
Altena,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-006,Altena.pdf,T07,"Duurzame, gedeelde en slimme mobiliteit",1,1,1,1,H14-0237,23,H14 tweede volledige lezing (aselecte controleset)
Altena,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-006,Altena.pdf,T08,Toegankelijke en betaalbare mobiliteit; bereikbaarheid van kernen,3,1,1,1,H14-0237,23,H14 tweede volledige lezing (aselecte controleset)
Altena,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-006,Altena.pdf,T09,"Goederenvervoer, logistiek en bijzondere vervoersstromen",0,0,0,5,H14-0223; H14-0224; H14-0226; H14-0228; H14-0229,15; 20; 21,H14 tweede volledige lezing (aselecte controleset)
Altena,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-006,Altena.pdf,T10,"Beheer, onderhoud en civiele infrastructuur",0,0,0,0,,,H14 tweede volledige lezing (aselecte controleset)
Altena,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-006,Altena.pdf,T11,"Uitvoering, samenwerking, financiering en kennis",3,3,2,4,H14-0224; H14-0229; H14-0235; H14-0236,15; 21; 23,H14 tweede volledige lezing (aselecte controleset)
Amersfoort,Rechtstreeks,Rechtstreeks,Utrecht,SRC-007,Amesfoort.pdf,T01,Verkeersveiligheid en veilig verkeersgedrag,2,3,2,9,H14-0254; H14-0258; H14-0261; H14-0264; H14-0271; H14-0275; H14-0277; H14-0332; H14-0333,16; 17; 18; 26,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Amersfoort,Rechtstreeks,Rechtstreeks,Utrecht,SRC-007,Amesfoort.pdf,T02,"Lopen, fietsen en actieve mobiliteit",2,3,2,16,H14-0249; H14-0259; H14-0260; H14-0263; H14-0264; H14-0265; H14-0266; H14-0267; H14-0268; H14-0270; H14-0272; H14-0273; H14-0280; H14-0289; H14-0331; H14-0344,16; 17; 18; 19; 26; 49,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Amersfoort,Rechtstreeks,Rechtstreeks,Utrecht,SRC-007,Amesfoort.pdf,T03,"Openbaar, collectief en vraagafhankelijk vervoer",3,3,3,23,H14-0241; H14-0242; H14-0243; H14-0244; H14-0247; H14-0248; H14-0249; H14-0276; H14-0278; H14-0279; H14-0281; H14-0282; H14-0283; H14-0289; H14-0301; H14-0327; H14-0332; H14-0333; H14-0335; H14-0336; H14-0339; H14-0342; H14-0346,10; 14; 16; 18; 19; 21; 26; 34; 41; 44; 51,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Amersfoort,Rechtstreeks,Rechtstreeks,Utrecht,SRC-007,Amesfoort.pdf,T04,"Autoverkeer, wegennet, doorstroming en ontsluiting",2,3,2,8,H14-0249; H14-0259; H14-0262; H14-0269; H14-0274; H14-0310; H14-0315; H14-0318,16; 17; 20; 21,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Amersfoort,Rechtstreeks,Rechtstreeks,Utrecht,SRC-007,Amesfoort.pdf,T05,Parkeren en ruimte voor stilstaande mobiliteit,3,3,3,52,H14-0238; H14-0239; H14-0252; H14-0255; H14-0256; H14-0257; H14-0284; H14-0285; H14-0287; H14-0288; H14-0290; H14-0291; H14-0292; H14-0293; H14-0294; H14-0296; H14-0297; H14-0298; H14-0299; H14-0300; H14-0301; H14-0302; H14-0303; H14-0304; H14-0305; H14-0306; H14-0307; H14-0308; H14-0309; H14-0310; H14-0311; H14-0312; H14-0313; H14-0314; H14-0316; H14-0317; H14-0319; H14-0320; H14-0321; H14-0322; H14-0323; H14-0324; H14-0325; H14-0326; H14-0327; H14-0328; H14-0329; H14-0330; H14-0340; H14-0341; H14-0343; H14-0345,6; 16; 19; 20; 21; 22; 42; 49,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Amersfoort,Rechtstreeks,Rechtstreeks,Utrecht,SRC-007,Amesfoort.pdf,T06,"Mobiliteit in ruimte, woningbouw en leefomgeving",3,3,3,22,H14-0239; H14-0240; H14-0244; H14-0248; H14-0249; H14-0251; H14-0253; H14-0255; H14-0268; H14-0273; H14-0286; H14-0288; H14-0289; H14-0291; H14-0294; H14-0295; H14-0299; H14-0303; H14-0317; H14-0333; H14-0341; H14-0342,6; 10; 14; 16; 17; 19; 20; 21; 26; 42; 44,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Amersfoort,Rechtstreeks,Rechtstreeks,Utrecht,SRC-007,Amesfoort.pdf,T07,"Duurzame, gedeelde en slimme mobiliteit",1,2,1,3,H14-0249; H14-0250; H14-0289,16; 19,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Amersfoort,Rechtstreeks,Rechtstreeks,Utrecht,SRC-007,Amesfoort.pdf,T08,Toegankelijke en betaalbare mobiliteit; bereikbaarheid van kernen,2,3,2,4,H14-0279; H14-0295; H14-0335; H14-0346,18; 19; 34; 51,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Amersfoort,Rechtstreeks,Rechtstreeks,Utrecht,SRC-007,Amesfoort.pdf,T09,"Goederenvervoer, logistiek en bijzondere vervoersstromen",0,0,0,0,,,H14: geen inhoudelijke passage aangetroffen
Amersfoort,Rechtstreeks,Rechtstreeks,Utrecht,SRC-007,Amesfoort.pdf,T10,"Beheer, onderhoud en civiele infrastructuur",0,0,0,0,,,H14: geen inhoudelijke passage aangetroffen
Amersfoort,Rechtstreeks,Rechtstreeks,Utrecht,SRC-007,Amesfoort.pdf,T11,"Uitvoering, samenwerking, financiering en kennis",3,3,3,20,H14-0240; H14-0242; H14-0243; H14-0244; H14-0245; H14-0246; H14-0257; H14-0274; H14-0291; H14-0298; H14-0299; H14-0309; H14-0323; H14-0325; H14-0326; H14-0334; H14-0336; H14-0337; H14-0338; H14-0346,10; 14; 16; 17; 19; 20; 21; 27; 34; 40; 51,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Amsterdam,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-008,Amsterdam.pdf,T01,Verkeersveiligheid en veilig verkeersgedrag,3,3,3,6,H14-0351; H14-0352; H14-0373; H14-0374; H14-0375; H14-0388,15; 52,H14 tweede volledige lezing (aselecte controleset)
Amsterdam,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-008,Amsterdam.pdf,T02,"Lopen, fietsen en actieve mobiliteit",3,3,3,9,H14-0371; H14-0372; H14-0374; H14-0376; H14-0383; H14-0387; H14-0389; H14-0396; H14-0398,51; 52; 53,H14 tweede volledige lezing (aselecte controleset)
Amsterdam,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-008,Amsterdam.pdf,T03,"Openbaar, collectief en vraagafhankelijk vervoer",3,3,3,13,H14-0368; H14-0370; H14-0371; H14-0372; H14-0377; H14-0378; H14-0379; H14-0384; H14-0386; H14-0394; H14-0397; H14-0402; H14-0411,42; 51; 52; 53; 64,H14 tweede volledige lezing (aselecte controleset)
Amsterdam,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-008,Amsterdam.pdf,T04,"Autoverkeer, wegennet, doorstroming en ontsluiting",3,2,3,2,H14-0349; H14-0350,11,H14 tweede volledige lezing (aselecte controleset)
Amsterdam,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-008,Amsterdam.pdf,T05,Parkeren en ruimte voor stilstaande mobiliteit,3,3,3,13,H14-0349; H14-0353; H14-0390; H14-0398; H14-0399; H14-0400; H14-0401; H14-0403; H14-0404; H14-0405; H14-0406; H14-0407; H14-0409,11; 19; 52; 53; 57; 61,H14 tweede volledige lezing (aselecte controleset)
