,,,,,,,,,,,,,
Ranglijst gemeenten via een aangesloten regio,,,,,,,,,,,,,
Eigen ranglijst van de 41 geanalyseerde regiogemeenten; niet gemengd met de rechtstreekse gemeenten.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Volgorde,Gedeelde rang,Gemeente,Route,Regio,Provincie,A /10,B /10,C-alt /10,Totaal /30,A5,# int.3,Bron-ID,Bestand
23,23,Brunssum,Via regio,RMO Zuid-Limburg,Limburg,9,10,5,24,2,3,SRC-020,Brunssum.pdf
24,24,Sittard-Geleen,Via regio,RMO Zuid-Limburg,Limburg,8,10,5,23,2,4,SRC-073,Sittard-Geleen.pdf
25,25,Kerkrade,Via regio,RMO Zuid-Limburg,Limburg,8,10,5,23,2,3,SRC-046,Kerkrade.pdf
26,26,Berg en Dal,Via regio,Regio Arnhem-Nijmegen,Gelderland,8,10,5,23,2,2,SRC-015,Berg en Dal.pdf
27,27,Beesel,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,9,9,5,23,2,3,SRC-014,Beesel.pdf
28,28,Heumen,Via regio,Regio Arnhem-Nijmegen,Gelderland,9,7,6.25,22.25,2,2,SRC-042,Heumen.pdf
29,29,Beuningen,Via regio,Regio Arnhem-Nijmegen,Gelderland,7,10,5,22,1,1,SRC-017,Beuningen.pdf
30,30,Gennep,Via regio,RMO Noord-Limburg / Trendsportal,Limburg,9,10,2.5,21.5,2,4,SRC-035,Gennep.pdf
31,30,Voerendaal,Via regio,RMO Zuid-Limburg,Limburg,9,10,2.5,21.5,2,4,SRC-083,Voerendaal.pdf
32,32,Duiven,Via regio,Regio Arnhem-Nijmegen,Gelderland,9,10,2.5,21.5,2,2,SRC-029,Duiven.pdf
33,33,Vaals,Via regio,RMO Zuid-Limburg,Limburg,8,8,5,21,2,3,SRC-078,Vaals.pdf
34,34,Simpelveld,Via regio,RMO Zuid-Limburg,Limburg,7,10,2.5,19.5,1,0,SRC-072,Simpelveld.pdf
35,34,Westervoort,Via regio,Regio Arnhem-Nijmegen,Gelderland,7,10,2.5,19.5,1,0,SRC-086,Westervoort.pdf
36,36,Westerkwartier,Via regio,Regio Groningen-Assen,Groningen,7,8,2.5,17.5,1,1,SRC-085,Westerkwartier.pdf
37,37,Doesburg,Via regio,Regio Arnhem-Nijmegen,Gelderland,5,8,3.75,16.75,1,0,SRC-025,Doesburg.pdf
38,38,Bergen (L.),Via regio,RMO Noord-Limburg / Trendsportal,Limburg,7,6,2.5,15.5,2,2,SRC-016,Bergen.pdf
39,39,Rozendaal,Via regio,Regio Arnhem-Nijmegen,Gelderland,5,6,2.5,13.5,1,0,SRC-093,Rozendaal_Coalitieakkoord_2026-2030.pdf
40,40,Beek,Via regio,RMO Zuid-Limburg,Limburg,5,5,1.25,11.25,1,0,SRC-012,Beek.pdf
41,41,Renkum,Via regio,Regio Arnhem-Nijmegen,Gelderland,4,4,2.5,10.5,1,0,SRC-068,Renkum.pdf
