,,,,,,,,,,,,,,,,,,
Volledige bewijspassages,,,,,,,,,,,,,,,,,,
Uitsluitend oorspronkelijke gemeentelijke akkoorden. De passage is kort gehouden maar letterlijk; PDF-pagina is leidend.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Evidence-ID,Gemeente,Route,Regio,Provincie,Bron-ID,Exacte bestandsnaam,PDF-pagina,Gedrukte pagina,Letterlijke passage,Hoofdthema’s,Subthema’s,Kop/context,Passage-intensiteit,Concreetheid,Aard primair,Aard secundair,OCR,Herkomst codering
H14-0011,Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,12,,Mobiliteit is eveneens een belangrijk aandachtspunt. Met het vastgestelde Mobiliteitsplan liggen er ambities op het gebied van verkeersveiligheid en bereikbaarheid.,T01,T01: Overig binnen afbakening,,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0012,Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,12,,We geven uitvoering aan de projecten uit het Mobiliteitsplan.,T11,"T11: Visies, programma’s en uitvoering",,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0013,Aa en Hunze,Rechtstreeks,Rechtstreeks,Drenthe,SRC-001,Aa en Hunze.pdf,14,27,"Denk daarbij aan investeringen in maatschappelijk vastgoed in de dorpen, woningbouw, het onderhoud van wegen en het versterken van preventie en leefbaarheid.",T10,T10: Wegenbeheer en onderhoudsniveau,,1,3,Probleem,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0014,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,11,,Permanente aandacht en vroegtijdige signalering zijn het uitgangspunt. z Sekswerkers: we hebben blijvende aandacht voor de veiligheid van sekswerkers. z Fietsendiefstal: dit is een groeiend probleem.,T02,T02: Fietsnetwerk en routekwaliteit,Buitengewoon Opsporingsambtenaren z CTER-beleid: we blijven het beleid,1,1,Probleem,,Nee,H14 volledige paginatekstscan
H14-0015,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,11,,"wijkgerichte veiligheidsaanpak realiseren. Hiermee versterken we ook de weerbaarheid. z CTER-beleid: we blijven het beleid op contraterrorisme, extremisme en radicalisering (CTER) ondersteunen. Permanente aandacht en vroegtijdige signalering zijn het uitgangspunt. z Sekswerkers: we hebben blijvende aandacht voor de veiligheid van sekswerkers. z Fietsendiefstal: dit is een groeiend probleem.",T02; T11,T02: Fietsnetwerk en routekwaliteit; T11: Overig binnen afbakening,Buitengewoon Opsporingsambtenaren z CTER-beleid: we blijven het beleid,2,2,Beleidsopdracht,Probleem,Nee,H14 volledige paginatekstscan
H14-0016,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,13,,"Daarom kiezen wij voor een integrale seniorenagenda waarin wonen, zorg, welzijn, mobiliteit, participatie, veiligheid en leefomgeving samenkomen.",T06,T06: Overig binnen afbakening,,1,3,Probleem,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0017,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,15,,"Door vergroening, aandacht voor klimaatadaptatie en het stimuleren van lopen, fietsen en buitensport dragen we bij aan zowel fysieke als mentale gezondheid.",T02,T02: Voetgangersnetwerk en lopen,z Verslavingszorg: we zetten in deze,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0018,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,15,,"Door vergroening, aandacht voor klimaatadaptatie en het stimuleren van lopen, fietsen en buitensport dragen we bij aan zowel fysieke als mentale gezondheid. Bij ruimtelijke ontwikkelingen en beheer van de openbare ruimte wegen we gezondheid, leefbaarheid en veiligheid expliciet mee. z Mentale gezondheid krijgt nadrukkelijk aandacht binnen het gemeentelijk beleid, met focus op preventie, weerbaarheid en het vroeg herkennen van signalen. z Voorlichting: in samenwerking met scholen en de GGD wordt ingezet op structurele gezondheidsvoorlichting voor jongeren, met specifieke aandacht voor digitale weerbaarheid, alcohol, drugs, seksuele gezondheid, en het tegengaan van vapen. z Jeugdgezondheidsbeleid: gezondheidsbeleid gericht op jeugd wordt ingezet door",T02; T06; T11,T02: Voetgangersnetwerk en lopen; T06: Herverdeling van openbare ruimte; T11: Interbestuurlijke samenwerking,z Verslavingszorg: we zetten in deze,2,2,Samenwerkingsvraag,,Nee,H14 volledige paginatekstscan
H14-0019,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,18,,"Hierbij denken we in ieder geval aan Cruijff-courts, beweegtuinen, groene schoolpleinen, wandelen fietsroutes en de mogelijkheid voor bewegen op of in het water. z Kinderen: samen met scholen en ouders werken we actief aan het stimuleren van buitenspelen en sporten voor kinderen.",T02,T02: Voetgangersnetwerk en lopen,Verenigingen en breedtesport zorgen voor een passend sportaanbod en zo,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0020,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,18,,"Verenigingen en breedtesport z Ondersteuning: we ondersteunen sportverenigingen actief via verenigingsmanagers die helpen bij administratie, subsidieaanvragen en vrijwilligersbeleid. z Alkmaarse Sportraad: we starten de Alkmaarse Sportraad, waarin de gemeente met alle sportaanbieders overlegt over het sportbeleid. Zo benutten we de sportieve kennis uit de samenleving maximaal om sport aantrekkelijker, bereikbaarder en betaalbaarder te maken. z Gelijkwaardigheid: in ons sportbeleid geven we in het bijzonder aandacht aan gelijke kansen en de gelijke behandeling van al onze inwoners.",T11,"T11: Financiering, subsidie en cofinanciering",Verenigingen en breedtesport zorgen voor een passend sportaanbod en zo,2,2,Investering,,Nee,H14 volledige paginatekstscan
H14-0021,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,19,,"Uitgangspunt blijft dat verdere invulling en besluitvorming plaatsvinden in goed overleg met de ondernemersverenigingen en andere betrokken partijen. z Bereikbaarheid en veiligheid: we investeren in de bereikbaarheid rondom het AZ-stadion, waaronder een onderzoek naar een extra loopbrug van en naar het stadion om bezoekersstromen beter en veiliger af te wikkelen. z Talent benutten: we benutten topsport als inspiratiebron voor breedtesport en jeugd: talentprogramma’s en scholen worden actief verbonden aan sportclubs en topsporters.",T11,"T11: Kennis, data, monitoring en capaciteit",parkeeropgave rond het AZ- stadion zijn we besluitvorming plaatsvinden in goed overleg,2,2,Kennis- of capaciteitsvraag,,Nee,H14 volledige paginatekstscan
H14-0022,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,19,,"z Parkeren bij het AZ-stadion: bij de parkeeropgave rond het AZ- stadion zijn we bereid te kijken naar slim dubbelgebruik van parkeervoorzieningen, zodat capaciteit efficiënt wordt benut.",T05,T05: Parkeercapaciteit en parkeerdruk,parkeeropgave rond het AZ- stadion zijn we besluitvorming plaatsvinden in goed overleg,2,2,Kennis- of capaciteitsvraag,,Nee,H14 volledige paginatekstscan
H14-0023,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,22,,"Circulaire economie en afval z Circulair inkopen: we breiden circulair inkopen uit en zetten in op levensduurverlenging van assets: bij gemeentelijke aanbestedingen en contracten is circulariteit een vast weegcriterium. z Gemeentelijke inzet: we maken circulariteit concreet in gemeentelijk beleid en uitvoering: van gemeentelijk vastgoed, infrastructuur en openbare ruimte tot inkoop van diensten en producten, we gaan spaarzaam om met grondstoffen en maken hergebruik de norm.",T10; T11,"T10: Vervanging en renovatie; T11: Visies, programma’s en uitvoering","warmtetarieven, binnen de kaders van de z Afvalreductie: in het gemeentelijke",3,3,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0024,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,22,,"laagdrempelig bereikbaar zijn voor alle inwoners. z Afvalreductie: in het gemeentelijke afvalbeleid zetten we als eerste in op reductie: minder afval produceren gaat boven recycling. z Afval scheiden: we stimuleren het scheiden van afval door het verbeteren en toegankelijker maken van inzameling en milieustraten. z Samenwerking bij hergebruik: We werken samen met partners om te zorgen dat het geproduceerde afval zo goed mogelijk hergebruikt wordt. z Grondstoffenstromen: we stimuleren lokale, korte ketens en meer samenwerking en uitwisseling tussen grondstoffenstromen in de Alkmaarse economie. z Prijsprikkels: we onderzoeken de opties voor positieve prijsprikkels, waaronder korting bij het aanbieden van minder afval.",T11,T11: Interbestuurlijke samenwerking,"warmtetarieven, binnen de kaders van de z Afvalreductie: in het gemeentelijke",2,2,Samenwerkingsvraag,Probleem,Nee,H14 volledige paginatekstscan
H14-0025,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,23,,"We zorgen voor een ontwikkeling van stad én dorpen in evenwicht. Leefbaarheid, bereikbaarheid en voorzieningen in de kernen zijn een belangrijk onderdeel van onze aanpak.",T06; T08,"T06: Leefbaarheid, gezondheid en ruimtelijke kwaliteit; T08: Bereikbaarheid van kernen en buitengebied","7. Openbare ruimte,",2,2,Beleidsopdracht,Probleem,Nee,H14 volledige paginatekstscan
H14-0026,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,24,,"In de stad én de dorpen zorgen we voor voldoende en logisch geplaatste parkeervoorzieningen en straatmeubilair. z Basisnorm: schoon, heel en veilig geldt als basisnorm voor alle wijken en dorpen. z Groene parkeerplekken: we maken een start met het vergroenen van parkeerplekken, zodat parkeren en groen hand in hand gaan. z Kanaalpark: we maken serieus werk van het kanaalpark als groen lint tussen nieuwe en bestaande wijken.",T05,T05: Parkeernormen,z Groenonderhoud: we zorgen voor natuur,2,2,Beleidsopdracht,Probleem,Nee,H14 volledige paginatekstscan
H14-0027,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,24,,Parkeerplaatsen die verdwijnen door vergroening compenseren we zo veel mogelijk.,T05,T05: Parkeercapaciteit en parkeerdruk,z Groenonderhoud: we zorgen voor natuur,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0028,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,24,,"We gebruiken de herinrichting van de Kanaalkade om deze te vergroenen. z Veilig en licht: we voeren het plan van aanpak uit om de verlichting bij tunnels te verbeteren, waaronder de verbinding tussen Dijk en Waard en Alkmaar. z Stoeptegeloffensief: we zoeken binnen de begroting naar mogelijkheden om het stoeptegeloffensief, voor toegankelijke stoepen, een extra impuls te geven van 100.000 euro. z Groen toevoegen: we zetten in op 12.000 m2 extra groen per jaar in de openbare ruimte.",T02; T06; T08; T11,"T02: Voetgangersnetwerk en lopen; T06: Herverdeling van openbare ruimte; T08: Mensen met een beperking en ouderen; T11: Financiering, subsidie en cofinanciering",z Groenonderhoud: we zorgen voor natuur,3,3,Investering,,Nee,H14 volledige paginatekstscan
H14-0029,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,26,,"Mobiliteit en parkeren De Stedelijke Mobiliteitsvisie Alkmaar, het Actieprogramma Verkeersveiligheid en het programma Alkmaar Fietst vormen de basis voor het mobiliteitsbeleid van de komende jaren. We bouwen hierop voort met een aanpak waarin bereikbaarheid, verkeersveiligheid, leefbaarheid en duurzaamheid hand in hand gaan.",T01; T02; T06; T11,"T01: Overig binnen afbakening; T02: Fietsnetwerk en routekwaliteit; T06: Leefbaarheid, gezondheid en ruimtelijke kwaliteit; T11: Visies, programma’s en uitvoering",,2,3,Beleidsopdracht,Investering,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0030,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,26,,Verkeersveiligheid z Veilige wegen: het Actieprogramma Verkeersveiligheid blijft leidend bij de inrichting van onze wegen en kruispunten. We investeren in veilige verkeerssituaties voor alle weggebruikers.,T01,T01: Veilige inrichting en snelheid,,2,3,Beleidsopdracht,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0031,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,26,,"8. Mobiliteit en parkeren De Stedelijke Mobiliteitsvisie Alkmaar, het Actieprogramma Verkeersveiligheid en het programma Alkmaar Fietst vormen de basis voor het mobiliteitsbeleid van de komende jaren.",T01; T02; T05; T11,"T01: Overig binnen afbakening; T02: Fietsnetwerk en routekwaliteit; T05: Parkeercapaciteit en parkeerdruk; T11: Visies, programma’s en uitvoering",8. Mobiliteit en parkeren,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0032,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,26,,Buiten de stad en op belangrijke ontsluitingsroutes blijft de auto een belangrijke plaats houden.,T04,"T04: Doorstroming, verkeersdruk en ontsluiting",8. Mobiliteit en parkeren,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0033,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,26,,"Daarbij kiezen we voor een realistische balans tussen leefbaarheid, bereikbaarheid en doorstroming.",T04; T06; T11,"T04: Doorstroming, verkeersdruk en ontsluiting; T06: Leefbaarheid, gezondheid en ruimtelijke kwaliteit; T11: Overig binnen afbakening",8. Mobiliteit en parkeren,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0034,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,26,,Deze afweging maken we bij herinrichting of onderhoud. Bij een acuut verkeersveiligheidsprobleem kan eerder worden overgegaan op 30 km/u. z Loopbeleid: we stellen een loopbeleid op.,T01,T01: Veilige inrichting en snelheid,8. Mobiliteit en parkeren,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0035,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,26,,"Deze afweging maken we bij herinrichting of onderhoud. Bij een acuut verkeersveiligheidsprobleem kan eerder worden overgegaan op 30 km/u. z Loopbeleid: we stellen een loopbeleid op. Hiermee pakken we gevaarlijke verkeerssituaties aan, verbeteren oversteek plaatsen en maken stoepen beter toegankelijk.",T01; T02; T10,T01: Schoolroutes en kwetsbare verkeersdeelnemers; T02: Voetgangersnetwerk en lopen; T10: Wegenbeheer en onderhoudsniveau,8. Mobiliteit en parkeren,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0036,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,26,,"Een goed bereikbare gemeente is essentieel voor prettig wonen, veilig verkeer en een sterke economie.",T01,T01: Overig binnen afbakening,8. Mobiliteit en parkeren,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0037,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,26,,"Hiermee pakken we gevaarlijke verkeerssituaties aan, verbeteren oversteek plaatsen en maken stoepen beter toegankelijk.",T01; T02,T01: Schoolroutes en kwetsbare verkeersdeelnemers; T02: Voetgangersnetwerk en lopen,8. Mobiliteit en parkeren,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0038,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,26,,"In de binnenstad en woonwijken geven we meer ruimte aan voetgangers, fietsers en openbaar vervoer.",T02; T03; T06,T02: Voetgangersnetwerk en lopen; T03: Bus en openbaar vervoer; T06: Overig binnen afbakening,8. Mobiliteit en parkeren,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0039,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,26,,"Op plekken waar dat niet mogelijk is, kiezen we voor 30 km/u.",T01,T01: Veilige inrichting en snelheid,8. Mobiliteit en parkeren,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0040,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,26,,"Op plekken waar vrijliggende fietspaden mogelijk zijn, blijft de snelheid 50 km/u.",T02,T02: Fietsnetwerk en routekwaliteit,8. Mobiliteit en parkeren,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0041,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,26,,"We bouwen hierop voort met een aanpak waarin bereikbaarheid, verkeersveiligheid, leefbaarheid en duurzaamheid hand in hand gaan.",T01; T06,"T01: Overig binnen afbakening; T06: Leefbaarheid, gezondheid en ruimtelijke kwaliteit",8. Mobiliteit en parkeren,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0042,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,26,,We investeren in veilige verkeerssituaties voor alle weggebruikers. We houden de prioriteitenlijst van de verkeersveiligheidsaanpak aan. z Inrichten naar gebruik: Wegen worden logisch ingericht en aangepast aan het gebruik.,T01,T01: Veilige inrichting en snelheid,8. Mobiliteit en parkeren,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0043,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,26,,We voeren de stedelijke mobiliteitsvisie verder uit en maken keuzes die passen bij de omgeving.,T11,"T11: Visies, programma’s en uitvoering",8. Mobiliteit en parkeren,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0044,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,27,,"We breiden het netwerk van veilige fietsroutes en snelfietspaden verder uit en verbeteren gevaarlijke knelpunten, waaronder de Kanaalkade. z Betaalbaar openbaar vervoer: we zetten ons samen met de provincie en vervoerders in voor betaalbaar en toegankelijk openbaar vervoer.",T01; T02; T03; T08,T01: Overig binnen afbakening; T02: Doorfiets- en snelfietsroutes; T03: Bus en openbaar vervoer; T08: Mensen met een beperking en ouderen,,2,3,Beleidsopdracht,Probleem,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0045,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,27,,"z Bestevaerbrug: we realiseren de Bestevaerbrug als nieuwe verbinding voor auto’s, fietsers, openbaar vervoer en voetgangers tussen Overdie en Oudorp, als fietsstraatbrug met 30 km/u.",T01; T02; T03; T04,"T01: Schoolroutes en kwetsbare verkeersdeelnemers; T02: Voetgangersnetwerk en lopen; T03: Bus en openbaar vervoer; T04: Doorstroming, verkeersdruk en ontsluiting",,2,3,Beleidsopdracht,,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0046,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,27,,Parkeren z Genoeg parkeerplekken: we zorgen voor voldoende parkeergelegenheid voor bewoners en bezoekers.,T05,T05: Parkeercapaciteit en parkeerdruk,,2,2,Beleidsopdracht,Probleem,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-0047,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,27,,Bereikbaarheid en doorstroming z Investeren: Alkmaar moet bereikbaar blijven.,T04,"T04: Doorstroming, verkeersdruk en ontsluiting",z Handhaving: We zetten nadrukkelijk in op Ontwikkelaars dragen bij aan noodzakelijke,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0048,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,27,,"Camera’s en verkeersregels blijven zoals ze nu zijn. z Fatbikes: zodra landelijke regelgeving of jurisprudentie daartoe mogelijkheden biedt, gaan we fatbike-overlast actief tegen. z Singels 30 km/u: de proef op de Kennemersingel is positief geëvalueerd.",T01,"T01: Handhaving, educatie en veilig gedrag",z Handhaving: We zetten nadrukkelijk in op Ontwikkelaars dragen bij aan noodzakelijke,2,2,Beleidsopdracht,Probleem,Nee,H14 volledige paginatekstscan
H14-0049,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,27,,"Daarna zetten we stappen om ook de Kanaalkade en Geestersingel naar 30 km/u te brengen, zodat er een veilige en samenhangende verkeersstructuur ontstaat in en rond de binnenstad.",T01,T01: Veilige inrichting en snelheid,z Handhaving: We zetten nadrukkelijk in op Ontwikkelaars dragen bij aan noodzakelijke,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0050,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,27,,"De basis hiervoor is het programma Alkmaar Fietst. De fiets is voor veel inwoners een snel, gezond en duurzaam vervoermiddel.",T02; T11,"T02: Fietsnetwerk en routekwaliteit; T11: Visies, programma’s en uitvoering",z Handhaving: We zetten nadrukkelijk in op Ontwikkelaars dragen bij aan noodzakelijke,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-0051,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,27,,Fiets en openbaar vervoer z Alkmaar Fietst: We investeren verder in veilige en aantrekkelijke fietsroutes door de hele gemeente.,T02; T03,T02: Fietsnetwerk en routekwaliteit; T03: Bus en openbaar vervoer,z Handhaving: We zetten nadrukkelijk in op Ontwikkelaars dragen bij aan noodzakelijke,2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-0052,Alkmaar,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-002,Alkmaar.pdf,27,,Ontwikkelaars dragen bij aan noodzakelijke investeringen in infrastructuur en parkeren. z Geluidsoverlast: we blijven ons inzetten om geluidsoverlast van wegen tegen te gaan.,T05,T05: Parkeercapaciteit en parkeerdruk,z Handhaving: We zetten nadrukkelijk in op Ontwikkelaars dragen bij aan noodzakelijke,1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
